ZIP code,County,Year,Age Group,Number of Visits,County Fips code,Age-adjusted rate
"90001
(33.973271508000494, -118.24896959899968)",LOS ANGELES,2012,AllAges,433,6037,76.2
"90001
(33.973271508000494, -118.24896959899968)",LOS ANGELES,2012,Children (0-17),221,6037,108.6
"90001
(33.973271508000494, -118.24896959899968)",LOS ANGELES,2012,Adults (18+),212,6037,64.9
"90002
(33.94895251300045, -118.24697958699971)",LOS ANGELES,2012,AllAges,438,6037,78.2
"90002
(33.94895251300045, -118.24697958699971)",LOS ANGELES,2012,Children (0-17),215,6037,113.3
"90002
(33.94895251300045, -118.24697958699971)",LOS ANGELES,2012,Adults (18+),223,6037,66
"90003
(33.96335186100049, -118.27393599999971)",LOS ANGELES,2012,AllAges,559,6037,80.7
"90003
(33.96335186100049, -118.27393599999971)",LOS ANGELES,2012,Children (0-17),295,6037,125.2
"90003
(33.96335186100049, -118.27393599999971)",LOS ANGELES,2012,Adults (18+),264,6037,65.2
"90004
(34.07572239300049, -118.30301712299968)",LOS ANGELES,2012,AllAges,365,6037,63.2
"90004
(34.07572239300049, -118.30301712299968)",LOS ANGELES,2012,Children (0-17),179,6037,134
"90004
(34.07572239300049, -118.30301712299968)",LOS ANGELES,2012,Adults (18+),186,6037,38.6
"90005
(34.05907233200048, -118.30301712299968)",LOS ANGELES,2012,AllAges,132,6037,36.9
"90005
(34.05907233200048, -118.30301712299968)",LOS ANGELES,2012,Children (0-17),73,6037,87.4
"90005
(34.05907233200048, -118.30301712299968)",LOS ANGELES,2012,Adults (18+),59,6037,19.3
"90006
(34.05010424100044, -118.2926890439997)",LOS ANGELES,2012,AllAges,269,6037,46.6
"90006
(34.05010424100044, -118.2926890439997)",LOS ANGELES,2012,Children (0-17),144,6037,98.2
"90006
(34.05010424100044, -118.2926890439997)",LOS ANGELES,2012,Adults (18+),125,6037,28.7
"90007
(34.02833141800045, -118.28507659499968)",LOS ANGELES,2012,AllAges,210,6037,73.3
"90007
(34.02833141800045, -118.28507659499968)",LOS ANGELES,2012,Children (0-17),101,6037,145.2
"90007
(34.02833141800045, -118.28507659499968)",LOS ANGELES,2012,Adults (18+),109,6037,48.3
"90008
(34.01097312100046, -118.34158773599972)",LOS ANGELES,2012,AllAges,338,6037,111.1
"90008
(34.01097312100046, -118.34158773599972)",LOS ANGELES,2012,Children (0-17),126,6037,176.4
"90008
(34.01097312100046, -118.34158773599972)",LOS ANGELES,2012,Adults (18+),212,6037,88.4
"90011
(34.00790120200048, -118.25903697699971)",LOS ANGELES,2012,AllAges,583,6037,54.9
"90011
(34.00790120200048, -118.25903697699971)",LOS ANGELES,2012,Children (0-17),336,6037,88.2
"90011
(34.00790120200048, -118.25903697699971)",LOS ANGELES,2012,Adults (18+),247,6037,43.3
"90012
(34.059480762000476, -118.24204800599972)",LOS ANGELES,2012,AllAges,71,6037,26
"90012
(34.059480762000476, -118.24204800599972)",LOS ANGELES,2012,Children (0-17),15,6037,46.6
"90012
(34.059480762000476, -118.24204800599972)",LOS ANGELES,2012,Adults (18+),56,6037,18.9
"90013
(34.04726260700045, -118.24609754999972)",LOS ANGELES,2012,AllAges,147,6037,112.4
"90013
(34.04726260700045, -118.24609754999972)",LOS ANGELES,2012,Children (0-17),,6037,
"90013
(34.04726260700045, -118.24609754999972)",LOS ANGELES,2012,Adults (18+),140,6037,105.9
"90014
(34.04475119400047, -118.2527367189997)",LOS ANGELES,2012,AllAges,72,6037,129.2
"90014
(34.04475119400047, -118.2527367189997)",LOS ANGELES,2012,Children (0-17),,6037,
"90014
(34.04475119400047, -118.2527367189997)",LOS ANGELES,2012,Adults (18+),66,6037,100
"90015
(34.04012376300045, -118.26498963499972)",LOS ANGELES,2012,AllAges,125,6037,72.4
"90015
(34.04012376300045, -118.26498963499972)",LOS ANGELES,2012,Children (0-17),59,6037,143.7
"90015
(34.04012376300045, -118.26498963499972)",LOS ANGELES,2012,Adults (18+),66,6037,47.7
"90016
(34.02888323300044, -118.35308896599969)",LOS ANGELES,2012,AllAges,386,6037,81.3
"90016
(34.02888323300044, -118.35308896599969)",LOS ANGELES,2012,Children (0-17),157,6037,130.1
"90016
(34.02888323300044, -118.35308896599969)",LOS ANGELES,2012,Adults (18+),229,6037,64.3
"90017
(34.05230281300044, -118.26338632799968)",LOS ANGELES,2012,AllAges,127,6037,58.1
"90017
(34.05230281300044, -118.26338632799968)",LOS ANGELES,2012,Children (0-17),70,6037,118.9
"90017
(34.05230281300044, -118.26338632799968)",LOS ANGELES,2012,Adults (18+),57,6037,36.9
"90018
(34.03077331100047, -118.31686899999971)",LOS ANGELES,2012,AllAges,433,6037,83.8
"90018
(34.03077331100047, -118.31686899999971)",LOS ANGELES,2012,Children (0-17),192,6037,144.4
"90018
(34.03077331100047, -118.31686899999971)",LOS ANGELES,2012,Adults (18+),241,6037,62.7
"90019
(34.04884418900048, -118.33610868499972)",LOS ANGELES,2012,AllAges,368,6037,60.1
"90019
(34.04884418900048, -118.33610868499972)",LOS ANGELES,2012,Children (0-17),147,6037,107.1
"90019
(34.04884418900048, -118.33610868499972)",LOS ANGELES,2012,Adults (18+),221,6037,43.7
"90020
(34.06636325100044, -118.30164844599972)",LOS ANGELES,2012,AllAges,146,6037,42.5
"90020
(34.06636325100044, -118.30164844599972)",LOS ANGELES,2012,Children (0-17),72,6037,95.5
"90020
(34.06636325100044, -118.30164844599972)",LOS ANGELES,2012,Adults (18+),74,6037,24.2
"90021
(34.03012156000045, -118.24177861599969)",LOS ANGELES,2012,AllAges,47,6037,221.4
"90021
(34.03012156000045, -118.24177861599969)",LOS ANGELES,2012,Children (0-17),,6037,
"90021
(34.03012156000045, -118.24177861599969)",LOS ANGELES,2012,Adults (18+),38,6037,190.3
